name,price,Aturan Pakai,Dosis,Efek Samping,Golongan Produk,Indikasi Umum,Kemasan,Komposisi,Kontra Indikasi,Manufaktur,No. Registrasi,Perhatian,uses
Bye Bye Fever Anak 1 Lembar,Rp11.300 - Rp11.500,Lepaskan lapisan transparan dan tempelkan permukaan yang melekat pada daerah dahi/pipi/punggung/bagian yang nyeri. Patch diganti setiap 10 jam.,"Setiap 10 jam, bila perlu.",Reaksi alergi dan iritasi.,Alat Kesehatan & Medis Habis Pakai,"Plester yang digunakan pada anak untuk meringankan efek tidak nyaman karena demam, sakit gigi, sakit kepala",Pack @ 1 Lembar,,Alergi atau hipersensitivitas.,HISAMITSU,Kemenkes RI: AKL11403913466,"Hanya untuk pemakaian luar. Jangan digunakan pada mata, daerah sekitar mata, selaput lunak atau kulit yang terkena eksim, ruam/luka. Hanya untuk sekali pakai. Hentikan penggunaan dan konsultasikan kepada dokter jika terjadi efek samping seperti ruam, kemerahan. JIka digunakan pada anak, harus dibawah pengawasan orang tua.","BYE BYE FEVER ANAK merupakan plester yang digunakan pada anak untuk meringankan efek tidak nyaman karena demam, sakit gigi, sakit kepala Plester ini memberikan efek dingin bekerja sampai 10 jam"
Bye Bye Fever Anak 10 Lembar,Rp100.000 - Rp104.000,"Lepaskan lapisan transparan dan tempelkan permukaan yang melekat pada daerah yang kering dan bersih. Untuk meningkatkan efek dingin, sebelum digunakan produk ini dapat disimpan di dalam lemari pendingin sebelum digunakan. Jangan disimpan dalam freezer.","Setiap 10 jam, bila perlu.",,Alat Kesehatan & Medis Habis Pakai,"Plester ini digunakan untuk meredakan atau mengurangi demam, sakit kepala, sakit gigi pada anak.",Box @ 10 Pack @ 1 Lembar,,,HISAMITSU,Kemenkes RI: AKL11403913466,"Hanya untuk pemakaian luar. Jangan digunakan pada mata atau daerah sekitar mata, membran mukosa, kulit yang terkena eksim, ruam atau luka. Hentikan pemakaian dan konsultasikan ke dokter jika terkadi ruam, kemerahan, gatal atau iritasi. Untuk kulit sensitif, konsultasikan ke dokter atau apoteker sebelum pemakaian. Penggunaan produk pada anak atau orang yang tdk dapat menggunakan sendiri, harus dibawah pengawasan orang tua atau orang dewasa lainnya. Jangan menutup mulut atau hidung dengan produk ini. Bersihkan kulit sebelum menggunakan produk ini. Efek dingin dari produk ini secara berangsur akan berkurang setelah kemasan dibuka. Gunakan segera setelah kemasan dibuka. Hanya untuk sekali pakai. Simpan ditempat kering dengan suhu tidak lebih dari 30 C, hindarkan dari sinar matahari langsung. Jauhkan dari jangkauan anak-anak. Produk ini bukan obat. Bila demam terus berlanjut, hubungi dokter.","Bye Bye Fever Anak merupakan plester yang digunakan pada anak untuk mengurangi demam, sakit kepala, sakit gigi san panas pada anak Plester ini memberikan efek dingin bekerja sampai 10 jam"
Bye Bye Fever Bayi 1 Lembar,Rp7.300 - Rp8.100,"Lepaskan lapisan transparan dan tempelkan permukaan yang melekat pada daerah yang sakit. Untuk meningkatkan efek pendinginan, sebelum digunakan simpan dahulu plester di kulkas.","Setiap 10 jam, bila perlu.",Reaksi alergi dan iritasi.,Alat Kesehatan & Medis Habis Pakai,"Plester yang digunakan pada anak untuk meringankan efek tidak nyaman karena demam, sakit gigi, sakit kepala",Pack @ 1 lembar,,,HISAMITSU,Kemenkes RI: AKL11403711444,"Hanya untuk pemakaian luar. Jangan digunakan pada mata, daerah sekitar mata, selaput lunak atau kulit yang terkena eksim, ruam/luka. Hanya untuk sekali pakai. Hentikan penggunaan dan konsultasikan kepada dokter jika terjadi efek samping seperti ruam, kemerahan. JIka digunakan pada anak, harus dibawah pengawasan orang tua.","BYE BYE FEVER BAYI merupakan plester yang digunakan pada anak untuk meringankan efek tidak nyaman karena demam, sakit gigi, sakit kepala Plester ini memberikan efek dingin bekerja sampai 10 jam"
Bye Bye Fever Bayi 10 Lembar,"Rp74,900",Lepaskan lapisan transparan dan tempelkan permukaan yang melekat pada daerah dahi/pipi/punggung/bagian yang nyeri. Patch diganti setiap 10 jam.,"Setiap 10 jam, bila perlu.",Reaksi alergi dan iritasi.,Alat Kesehatan & Medis Habis Pakai,"Plester yang digunakan pada anak untuk meringankan efek tidak nyaman karena demam, sakit gigi, sakit kepala",Box @ 10 lembar,,,HISAMITSU,Kemenkes RI: AKL11403913465,"Hanya untuk pemakaian luar. Jangan digunakan pada mata, daerah sekitar mata, selaput lunak atau kulit yang terkena eksim, ruam/luka. Hanya untuk sekali pakai. Hentikan penggunaan dan konsultasikan kepada dokter jika terjadi efek samping seperti ruam, kemerahan. JIka digunakan pada anak, harus dibawah pengawasan orang tua.",BYE BYE FEVER BAYI merupakan plester yang digunakan pada anak untuk meringankan efek tidak nyaman karena demam Plester ini memberikan efek dingin bekerja sampai 10 jam
Koolfever For Baby 1 Sachet,Rp5.500 - Rp6.000,"Lepaskan lapisan transparan dan tempelkan permukaan yang mengandung gel pada kulit yang kering dan bersih tanpa mengenai rambut. Bila berkeringat, gunakan setelah membersihkan keringat dengan baik. Agar lebih efektif dan higienis, gunakan KOOLFEVER untuk satu kali penggunaan.","Sesuai kebutuhan, dapat bertahan selama 6 jam",Reaksi alergi,Alat Kesehatan & Medis Habis Pakai,"Plester kompres yang digunakan untuk membantu menurunkan demam, sakit kepala dan sakit gigi pada bayi.",Pack @ 1 Piece,,Hipersensitivitas,Kobayashi Pharmaceutical Indonesia,Kemenkes RI: AKL11403513964,"Jauhkan dari jangkauan anak-anak dan orang dengan demensia. Jangan gunakan produk pada hidung atau memasukannya ke dalam mulut karena dapat menyebabkan kesulitan bernapas. Perhatian orang dewasa diperlukan bila produk akan digunakan oleh orang yang sulit melepas produk sendiri spt bay, orang yang memiliki keterbatasan fisik. Jika selama atau setelah penggunaan terdapat kelainan pada kulit seperti timnul radang, kemerahan dan sebagainya, hentikan penggunaannya dan hubungi dokter kulit. Jangan gunakan produk pada kulit yang radang atau terbakar sinar matahari dan luka terbuka seperti teriris, eksim, ruam, luka bakar dll. Produk ini bukan produk medis, bila demam berlanjut segera hubungi dokter. Jangan dimasukan ke dalam kulkas. Hati-hati jangan sampai tertelan. Simpan ditempat yang sejuk. Hindari sinar matahari langsung dan tempat bersuhu tinggi.","KOOLFEVER BABY merupakan plester kompres yang digunakan untuk membantu menurunkan demam, sakit kepala dan sakit gigi pada bayi Plester ini dapat memberikan sensasi dingin hingga 4 jam"
Rohto Fever Patch 2 Lembar,Rp9.000 - Rp16.600,Lepaskan lapisan transparan dan tempelkan lembaran yang mengandung gel pada permukaan kulit.,Sesuai kebutuhan,,Alat Kesehatan & Medis Habis Pakai,"Menurunkan panas yang tinggi, meredakan sakit gigi, pusing, dan tegang otot.",Sachet @ 2 Patch,,,Rohto Laboratories Indonesia,Kemenkes RI: AKL11403412948,"Untuk anak dan bayi usia 3 bulan ke atas. Jangan gunakan pada kulit yang luka, terkena eksim maupun ruam. Hindari kontak dengan mata.",ROHTO FEVER PATCH merupakan plester penurun panas atau demam pana anak
Sumagesic 600 mg 4 Tablet,Rp2.800 - Rp3.200,Obat diminum sebelum atau setelah makan.,"Dewasa : 1 tablet, 3-4 kali sehari atau sesuai petunjuk dokter.","Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: - Penggunaan untuk jangka waktu lama dan dosis besar dapat menyebabkan kerusakan fungsi hati. - Reaksi hipersensitifitas/ alergi.",Obat Bebas (Hijau),"Obat ini digunakan untuk meringankan rasa sakit pada sakit kepala, sakit gigi dan menurunkan demam.","Dus, 25 Catch Cover @ 1 Strip @ 4 tablet",Tiap tablet mengandung Paracetamol 600 mg,"Penderita gangguan fungsi hati yang berat, dan penderita yang hipersensitif atau alergi terhadap Paracetamol.",Medifarma,BPOM: DBL7814710810A1,"Hati-hati penggunaan obat ini pada penderita penyakit ginjal. Bila setelah 2 hari demam tidak menurun atau setelah 5 hari nyeri tidak menghilang segera hubungi Unit Pelayanan Kesehatan. Penggunaan obat ini pada penderita yang mengkonsumsi alkohol, dapat meningkatkan risiko gangguan fungsi hati. Kategori Kehamilan : Kategori B: Mungkin dapat digunakan oleh wanita hamil. Penelitian pada hewan uji tidak memperlihatkan ada nya risiko terhadap janin, namun belum ada bukti penelitian langsung terhadap wanita hamil.","SUMAGESIC TABLET merupakan obat dengan kandungan Paracetamol 600 mg Obat ini dapat digunakan untuk meringankan rasa sakit pada sakit kepala, sakit gigi, dan menurunkan demam Paracetamol pada kandungan obat ini bekerja pada pusat pengatur suhu di hipotalamus untuk menurunkan suhu tubuh (antipiretik) serta menghambat sintesis prostaglandin sehingga dapat mengurangi nyeri ringan sampai sedang (analgesik)"
Sanmol 500 mg 4 Tablet,Rp2.300 - Rp2.500,Obat dapat diminum sebelum atau sesudah makan.,"Dewasa dan anak >12 tahun: 1 tablet, 3-4 kali per hari. Anak: 1/2 - 1 tablet, 3-4 kali sehari. Atau sesuai petunjuk dokter.","Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Hematologi, reaksi kulit, reaksi alergi lainnya, kerusakan hati (penggunaan jangka panjang dan overdosis).",Obat Bebas (Hijau),"Obat ini digunakan untuk meringankan rasa sakit pada keadaan sakit kepala, sakit gigi dan menurunkan demam.","Dus, 25 Catch Cover @1 Strip @ 4 Tablet",Setiap tablet mengandung Paracetamol 500 mg,Penderita gangguan fungsi hati yang berat. Hipersensitivitas terhadap Paracetamol.,Sanbe Farma,BPOM: DBL7622235610A2,"Hati-hati penggunaan obat ini pada penderita penyakit ginjal. Bila setelah 2 hari demam tidak menurun atau setelah 5 hari nyeri tidak menghilang, segera hubungi Unit Pelayanan Kesehatan. Penggunaan obat ini pada penderita yang mengkonsumsi alkohol, dapat meningkatkan risiko kerusakan fungsi hati. Kategori kehamilan : Kategori B: Mungkin dapat digunakan oleh wanita hamil. Penelitian pada hewan uji tidak memperlihatkan ada nya risiko terhadap janin, namun belum ada bukti penelitian langsung terhadap wanita hamil.","SANMOL merupakan obat dengan kandungan Paracetamol 500 mg Obat ini digunakan untuk meringankan rasa sakit pada keadaan sakit kepala, sakit gigi dan menurunkan demam Sanmol bekerja pada pusat pengatur suhu di hipotalamus untuk menurunkan suhu tubuh (antipiretik) serta menghambat sintesis prostaglandin sehingga dapat mengurangi nyeri ringan sampai sedang (analgesik)"
Mefinal 500 mg 10 Kaplet,Rp18.000 - Rp19.600,Dikonsumsi sesudah makan.,PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa dan anak >14 tahun : 3 x sehari 500 mg. Lansia : Mulailah dengan dosis yang lebih rendah dan durasi sesingkat mungkin.,"Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Ggn & perdarahan GI, tukak peptik.",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Nyeri pada kondisi rematik, cedera jaringan lunak, kondisi muskuloskeletal menyakitkan lainnya, dismenorea, sakit kepala, sakit gigi, nyeri pasca operasi.","Dus, 10 Strip @ 10 Kaplet salut selaput",Asam Mefenamat 500 mg,"Hipersensitivitas, peradangan atau tukak pada saluran pencernaan.",Sanbe Farma,BPOM: DKL8322200409A1,"Obat Wajib Apotek, Obat ini dapat dibeli dan diserahkan apoteker tanpa resep dengan maksimum 2 Strip. Pembelian melebihi batas ini WAJIB RESEP DOKTER. Hati-hati penggunaan pada pasien dengan faktor risiko kejadian KV (misalnya hipertensi, hiperlipidemia, diabetes mellitus, merokok), gagal jantung ringan hingga sedang, hipovolemia, dehidrasi, Pasien yang lemah, gangguan ginjal dan hati, lansia, Ibu hamil (trimester 1-2) dan menyusui. Kategori kehamilan : Kategori C: Mungkin berisiko. Obat digunakan dengan hati-hati apabila besarnya manfaat yang diperoleh melebihi besarnya risiko terhadap janin. Penelitian pada hewan uji menunjukkan risiko terhadap janin dan belum terdapat penelitian langsung terhadap wanita hamil.","MEFINAL 500 MG merupakan obat dengan kandungan Asam Mefenamat yang bekerja secara reversible menghambat siklooksigenase 1 dan 2 (COX 1 dan 2) sehingga mengakibatkan penurunan laju sintesa prostaglandin dan menunjukan sifat analgesik, antiinflamasi dan antipiretik Obat ini dapat digunakan untuk Nyeri pada kondisi rematik, cedera jaringan lunak, kondisi muskuloskeletal menyakitkan lainnya, dismenorea, sakit kepala, sakit gigi, nyeri pasca operasi"
Sanmol Forte 4 Tablet,Rp2.700 - Rp3.000,Dikonsumsi sebelum atau sesudah makan.,"Dewasa dan anak usia lebih dari 12 tahun : 1 tablet, diberikan 3-4 kali sehari.","Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Hematologi, reaksi kulit, reaksi alergi lainnya, kerusakan hati (penggunaan jangka panjang dan overdosis).",Obat Bebas (Hijau),"Obat ini digunakan untuk meringankan rasa sakit pada keadaan sakit kepala, sakit gigi dan menurunkan demam.","Dus, 25 Catch Cover @1 Strip @ 4 Tablet",Paracetamol 650 mg,"Penderita gangguan fungsi hati yang berat, hipersensitivitas terhadap Paracetamol",Sanbe Farma,BPOM: DBL1122235610B1,"Hati-hati penggunaan obat ini pada penderita penyakit ginjal. Bila setelah 2 hari demam tidak menurun atau setelah 5 hari nyeri tidak menghilang, segera hubungi Unit Pelayanan Kesehatan. Penggunaan obat ini pada penderita yang mengkonsumsi alkohol, dapat meningkatkan risiko kerusakan fungsi hati. Kategori kehamilan : Kategori B: Mungkin dapat digunakan oleh wanita hamil. Penelitian pada hewan uji tidak memperlihatkan ada nya risiko terhadap janin, namun belum ada bukti penelitian langsung terhadap wanita hamil.","SANMOL FORTE merupakan obat dengan kandungan Paracetamol 650 mg Obat ini digunakan untuk meringankan rasa sakit pada keadaan sakit kepala, sakit gigi dan menurunkan demam Sanmol Forte bekerja pada pusat pengatur suhu di hipotalamus untuk menurunkan suhu tubuh (antipiretik) serta menghambat sintesis prostaglandin sehingga dapat mengurangi nyeri ringan sampai sedang (analgetik)"
Opistan 500 mg 10 Kaplet,Rp6.400 - Rp9.500,Sesudah makan,PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa dan anak >14 tahun : 3 x sehari 500 mg. Lansia : Mulailah dengan dosis yang lebih rendah dan durasi sesingkat mungkin.,"Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Efek signifikan yakni Reaksi anafilaktoid, retensi cairan, anemia, hiperkalemia. Gangguan sistem darah dan limfatik: Eosinofilia, leukopenia, trombositopenia, purpura, agranulositosis. Gangguan jantung: Dispnea. Gangguan telinga dan labirin: Tinnitus. Gangguan gastrointestinal: Diare, mual, muntah, sakit perut, perut kembung, sembelit, dispepsia, mulas, gastritis. Gangguan hepatobilier: Hepatitis, penyakit kuning. Pemeriksaan penunjang: Peningkatan enzim hati. Gangguan sistem saraf: Meningitis aseptik, sakit kepala. Gangguan kejiwaan: Gugup, insomnia, kebingungan, depresi. Gangguan ginjal dan kemih: Disuria, sistitis. Gangguan sistem reproduksi dan payudara: Hematuria. Gangguan pernapasan, toraks dan mediastinum: Asma. Gangguan kulit dan jaringan subkutan: Pruritus, urtikaria, ruam, eritema multiforme. Gangguan pembuluh darah: Hipertensi. Berpotensi Fatal: Kejadian trombotik CV termasuk MI dan stroke, peradangan gastrointestinal, perdarahan, ulserasi, perforasi. Jarang, dermatitis eksfoliatif, nekrolisis epidermal toksik, sindrom Stevens-Johnson, hepatitis fulminan, nekrosis hati, gagal hati.",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Meredakan nyeri ringan hingga sedang pada sakit kepala, sakit gigi, nyeri haid primer, termasuk nyeri karena trauma, nyeri otot, dan nyeri paska operasi","Dus, 10 Strip @ 10 Kaplet Salut Selaput",Asam Mefenamat 500 mg,"Hipersensitivitas. Pasien dengan aktif atau riwayat tukak/perdarahan peptikum berulang, riwayat perdarahan gastrointestinal atau perforasi (terkait dengan terapi NSAID sebelumnya), penyakit radang usus, gagal jantung berat, riwayat asma, bronkospasme, rinitis, angioedema, urtikaria, atau tipe alergi reaksi setelah minum aspirin atau NSAID lainnya. Pengobatan nyeri peri-operatif dalam pengaturan operasi CABG. Ginjal (CrCl <30 mL/menit) dan gangguan hati berat. Kehamilan (trimester ketiga).",Otto Pharmaceutical Industries,BPOM: DKL8818803909A1,"Obat Wajib Apotek, Obat ini dapat dibeli dan diserahkan apoteker tanpa resep dengan maksimum 2 Strip. Pembelian melebihi batas ini WAJIB RESEP DOKTER. Hati-hati penggunaan pada pasien dengan faktor risiko kejadian KV (misalnya hipertensi, hiperlipidemia, diabetes mellitus, merokok), gagal jantung ringan hingga sedang, hipovolemia, dehidrasi, Pasien yang lemah, gangguan ginjal dan hati, lansia, Ibu hamil (trimester 1-2) dan menyusui. Kategori kehamilan : Kategori C: Mungkin berisiko. Obat digunakan dengan hati-hati apabila besarnya manfaat yang diperoleh melebihi besarnya risiko terhadap janin. Penelitian pada hewan uji menunjukkan risiko terhadap janin dan belum terdapat penelitian langsung terhadap wanita hamil.","OPISTAN mengandung Asam mefenamat yang merupakan golongan NSAID Asam mefenamat secara reversibel menghambat siklooksigenase-1 dan -2 (COX-1 dan -2), sehingga mengakibatkan penurunan laju sintesis prostaglandin dan menunjukkan sifat analgesik, anti-inflamasi serta antipiretik Obat dengan kandungan Asam Mefenamat diindikasikan untuk nyeri ringan sampai sedang seperti sakit kepala, sakit gigi, dismenore primer, termasuk nyeri karena trauma, nyeri otot, dan nyeri pasca operasi"
